7203.T,6758.T,9432.T,8306.T,9984.T,9433.T,9983.T,4568.T,8035.T,4063.T,6501.T,6367.T,8058.T,8316.T,8001.T,4502.T,4519.T,8031.T,6902.T,8766.T,7267.T,2914.T,3382.T,8411.T,6954.T,4503.T,6702.T,5108.T,7733.T,9022.T,AAPL,MSFT,UNH,JNJ,V,WMT,JPM,PG,CVX,HD,MRK,KO,CSCO,MCD,NKE,DIS,VZ,AMGN,HON,IBM,CRM,GS,CAT,INTC,AXP,BA,MMM,TRV,DD,WBA
1290.000,1243.600,95.520,672.000,4625.500,2920.000,17846.667,1480.667,4840.000,1811.400,687.800,13700,1130.333,1449.000,2152.500,4406.000,2220.000,978.750,1297.250,1767.333,1003.667,2850.000,1594.667,1901.000,3871,1829.000,730.300,4186.000,1036.250,4353.000,54.340,107.600,260.250,133.950,137.230,31.273,106.340,80.130,116.940,191.170,69.460,44.910,44.670,163.670,74.990,113.440,53.600,195.590,156.210,141.130,141.950,215.220,141.800,44.530,102.620,358.880,198.940,123.390,176.820,74.720
1304.400,1271.200,99.820,679.100,4793.000,2950.500,18553.333,1489.667,4856.667,1825.000,693.600,13795,1147.667,1466.667,2180.500,4550.000,2266.667,991.250,1311.500,1796.667,1022.667,2878.500,1592.667,1915.000,3976,1856.500,731.200,4266.000,1028.750,4335.000,55.538,111.000,272.570,136.560,141.740,31.937,108.620,81.010,117.510,193.580,71.220,45.490,45.820,164.070,77.480,116.190,53.700,202.340,159.560,145.120,147.440,221.700,143.710,45.940,104.270,368.250,202.330,124.750,180.780,76.280
1322.400,1299.600,101.880,689.800,4895.000,2976.500,18876.667,1492.667,5003.333,1842.200,702.000,14050,1154.333,1493.667,2172.500,4661.000,2263.333,998.500,1315.750,1815.000,1032.333,2918.500,1591.667,1932.000,3998,1865.000,744.300,4354.000,1041.250,4402.000,55.297,110.710,267.300,139.460,142.450,32.187,109.830,81.860,117.290,185.170,71.820,45.860,45.940,166.770,76.480,117.130,53.960,202.770,158.050,134.050,147.010,228.280,141.340,45.890,104.340,365.500,202.930,126.440,178.710,76.980
1328.200,1283.600,101.780,692.200,4824.000,2992.000,18610.000,1503.333,4918.333,1798.000,697.400,13990,1135.667,1490.333,2157.000,4704.000,2270.000,993.250,1312.000,1812.333,1031.333,2961.000,1602.333,1934.000,3835,1869.500,738.400,4316.000,1031.250,4410.000,54.005,108.500,266.810,139.500,139.290,32.057,108.090,80.240,117.470,180.440,72.210,45.610,45.460,166.810,75.600,116.180,54.650,202.720,155.190,130.550,142.840,224.950,135.800,44.970,102.840,359.350,200.380,125.140,175.740,76.580
1315.400,1268.200,99.900,686.600,4765.000,2982.000,18646.667,1510.667,4995.000,1782.200,684.600,13690,1126.667,1483.333,2144.500,4641.000,2266.667,981.750,1291.500,1852.000,1021.667,2936.000,1614.667,1937.000,3835,1888.500,744.700,4266.000,1023.750,4381.000,54.828,108.660,265.300,139.050,140.080,32.383,107.910,87.300,118.140,179.850,72.350,46.330,45.340,167.490,74.210,118.900,54.900,201.800,153.470,129.100,140.490,226.960,131.320,44.000,106.730,356.260,199.850,126.070,172.470,77.350
1309.800,1261.800,99.480,688.200,4716.500,2968.000,18823.333,1516.333,5103.333,1785.200,681.600,13560,1125.667,1485.667,2151.000,4602.000,2276.667,983.500,1292.500,1847.667,1026.000,2955.000,1612.000,1942.000,3853,1860.500,742.800,4282.000,1003.750,4405.000,55.163,109.630,262.190,138.680,140.640,32.380,106.360,86.600,117.210,178.750,72.570,45.970,45.760,166.630,74.900,118.270,54.980,198.020,152.610,130.020,142.950,221.600,128.710,45.010,104.510,355.980,201.360,124.070,168.210,77.650
1308.800,1236.800,96.600,671.700,4578.500,2881.500,18666.667,1505.000,4933.333,1754.400,664.800,13170,1098.333,1457.000,2087.000,4528.000,2226.667,953.250,1273.250,1777.667,1003.667,2883.500,1580.333,1913.000,3772,1800.000,732.800,4150.000,982.500,4252.000,55.682,108.100,264.860,138.930,139.120,32.600,105.250,87.160,113.400,178.530,72.100,46.360,45.420,177.150,73.350,117.850,57.210,197.640,150.600,131.210,140.660,218.560,118.980,44.500,104.380,350.050,192.550,123.800,164.040,77.260
1315.600,1241.600,96.940,664.100,4602.500,2929.000,19076.667,1506.667,4881.667,1685.400,660.400,13220,1093.000,1434.667,2071.000,4508.000,2223.333,944.750,1279.000,1750.000,1006.333,2942.500,1603.333,1901.000,3772,1814.500,743.400,4217.000,988.750,4323.000,53.773,102.320,256.320,137.470,134.260,32.520,103.290,89.460,110.210,176.970,70.540,46.730,44.070,177.350,72.120,111.610,57.420,187.880,145.340,127.210,133.260,209.180,112.340,42.420,101.840,354.650,184.540,121.560,158.040,74.200
1280.400,1173.800,96.300,650.200,4400.000,2847.500,18133.333,1463.333,4673.333,1656.600,637.600,12805,1057.000,1410.000,2011.000,4303.000,2173.333,924.500,1235.000,1706.000,975.500,2911.000,1599.000,1879.000,3616,1715.000,714.500,4157.000,948.750,4190.000,54.950,108.300,264.240,138.470,140.520,33.060,104.860,89.000,111.580,179.070,69.960,46.510,45.470,175.310,73.100,114.160,56.430,188.100,147.480,126.450,140.800,214.010,115.630,44.310,103.600,363.770,184.990,121.240,158.760,75.740
1306.800,1166.800,97.800,653.100,4314.000,2836.000,18510.000,1458.000,4693.333,1690.600,651.200,12635,1052.333,1416.000,2016.000,4368.000,2190.000,923.500,1246.750,1717.667,992.500,2908.000,1588.667,1886.000,3538,1744.500,700.300,4227.000,946.250,4215.000,54.075,106.960,258.180,136.970,137.740,32.980,103.420,87.860,111.530,172.230,70.400,45.920,44.250,173.340,72.070,113.190,55.510,185.980,146.040,124.790,135.520,212.360,115.050,45.690,101.250,359.270,184.950,121.290,156.000,76.230
1285.200,1160.400,96.540,649.200,4253.000,2766.000,18676.667,1459.333,4738.333,1826.000,647.200,12565,1052.333,1407.333,2045.500,4461.000,2193.333,931.500,1227.000,1710.000,995.000,2901.000,1602.667,1879.000,3583,1704.500,662.200,4236.000,928.750,4272.000,53.060,103.850,256.520,137.550,134.330,33.267,104.850,88.240,108.930,173.200,71.450,46.460,43.840,173.230,72.190,113.040,56.480,188.190,141.060,119.640,130.990,214.490,113.980,45.400,101.190,335.590,185.790,122.320,156.210,76.820
1297.000,1172.400,94.000,663.800,4269.500,2756.500,19050.000,1469.000,5048.333,1902.800,683.600,12830,1062.000,1438.000,2052.500,4473.000,2186.667,917.000,1223.750,1735.000,1014.667,2923.500,1623.000,1905.000,3704,1731.000,673.900,4271.000,927.500,4200.000,53.325,103.730,258.280,140.750,132.760,34.140,106.700,89.190,110.850,176.240,72.870,47.630,44.580,178.490,74.510,114.760,58.180,189.080,142.960,115.400,132.170,219.280,117.460,47.760,102.080,349.910,189.810,125.870,157.890,78.800
1323.000,1228.000,95.000,684.800,4524.000,2814.500,19023.333,1438.000,5228.333,1893.800,692.400,13125,1060.000,1471.333,2095.000,4570.000,2210.000,942.750,1262.500,1782.000,1080.333,2906.500,1631.000,1940.000,3947,1747.000,686.200,4363.000,942.500,4330.000,54.715,106.810,261.350,139.990,137.850,33.427,109.020,88.680,111.650,175.880,73.610,47.880,45.750,176.900,75.040,114.830,57.090,192.790,144.820,115.430,137.240,225.370,121.320,46.880,102.730,354.860,190.260,125.130,161.760,79.770
